urb/no urb,State,County,Fips,Difference in Urban Land 2010-2060,Difference in Urban Tree Cover 2010-2060,Urban Tree Cover Change Index,Difference in Temperature Celsius 2010-2060,Temperature Change Index,Difference in Precipitation mm/year 2010-2060,Absolute Precipitation Change Index,Difference in Aridity 2010-2060,Aridity Change Index,Flood Risk Index,Difference in Sea Level Rise % inundation 2010-2060,Sea Level Rise Index,Wildfire Change Index,Hurricane Threat Index,Tornado Risk Index,Ice Storm Risk Index,Pest Index,CTI
0,Nebraska,Merrick County,31121,0.373633821,-13.24410308,0.379282022,2.663130569,0.759459232,44.83865151,0.13406643,0.106317405,0.262431372,0.270077683,0,0,0.001183362,0.003509552,0.113095238,0.24137931,0.055555556,0.449049604
1,Nebraska,Morrill County,31123,0.376013427,-999,,-999,,-999,,-999,,,-999,,,0.000148779,0.148809524,0,0.111111111,
1,Nebraska,Nance County,31125,0.375033434,-999,,-999,,-999,,-999,,,-999,,,0.002840192,0.089285714,0.206896552,0.111111111,
0,Nebraska,Nemaha County,31127,0.378057172,-14.22483582,0.407368053,2.699595596,0.769858159,31.07094622,0.092901341,0.150111735,0.370532261,0.036584034,0,0,0.001930471,0.009048847,0.107142857,0.137931034,0.166666667,0.424761708
1,Nebraska,Nuckolls County,31129,0.377028134,-999,,-999,,-999,,-999,,,-999,,,0.005845511,0.214285714,0.172413793,0.055555556,
0,Nebraska,Otoe County,31131,0.378169678,-16.14838283,0.462454215,2.638734001,0.752501932,55.12318017,0.16481691,0.135458281,0.33436202,0.098278326,0,0,0.002274541,0.007481813,0.136904762,0.103448276,0.166666667,0.450900324
1,Nebraska,Pawnee County,31133,0.377708256,-999,,-999,,-999,,-999,,,-999,,,0.009703653,0.071428571,0.103448276,0.055555556,
1,Nebraska,Perkins County,31135,0.37479208,-999,,-999,,-999,,-999,,,-999,,,0.001525945,0.095238095,0,0.055555556,
0,Nebraska,Phelps County,31137,0.376842246,-14.0370677,0.401990787,2.516395274,0.717613941,75.39676297,0.225434408,0.113322211,0.27972187,0.015839011,0,0,0.00036839,0.003461443,0.113095238,0.206896552,0.055555556,0.408582755
1,Nebraska,Pierce County,31139,0.375802078,-999,,-999,,-999,,-999,,,-999,,,0.002117979,0.130952381,0.068965517,0.055555556,
0,Nebraska,Platte County,31141,1.618879154,-15.16623838,0.434327755,2.624782788,0.748523389,64.01776775,0.191411501,0.123952577,0.305961614,0.338121759,0,0,0.00160771,0.002752996,0.113095238,0.068965517,0.111111111,0.468435018
1,Nebraska,Polk County,31143,0.375255036,-999,,-999,,-999,,-999,,,-999,,,0.003766742,0.178571429,0.206896552,0.055555556,
0,Nebraska,Red Willow County,31145,0.375481496,-13.01903871,0.372836672,2.338390755,0.666851437,90.72022995,0.271251185,0.093674308,0.231223448,0.050207784,0,0,0.001725055,0.003033301,0.11019536,0.103448276,0.055555556,0.377503998
0,Nebraska,Richardson County,31147,0.378833188,-14.59864738,0.418073195,2.722698302,0.776446482,24.15886599,0.072234396,0.183288937,0.452426083,0.003032966,0,0,0.000221736,0.010814305,0.05858396,0.103448276,0.111111111,0.405834967
1,Nebraska,Rock County,31149,0.378887323,-999,,-999,,-999,,-999,,,-999,,,0.00114302,0.083333333,0.034482759,0.055555556,
0,Nebraska,Saline County,31151,0.377034048,-16.49599702,0.472409121,2.639531631,0.752729396,29.09434966,0.086991367,0.120901298,0.29842991,0.225805254,0,0,0.0054457,0.005997165,0.130952381,0.172413793,0.055555556,0.446357355
0,Nebraska,Sarpy County,31153,34.20155596,-15.22578009,0.436032899,2.649232973,0.75549598,81.74813611,0.244424852,0.124709971,0.307831148,0.122743617,0,0,0.003382148,0.005236647,0.083333333,0.103448276,0.166666667,0.450780196
0,Nebraska,Saunders County,31155,0.375162252,-13.63661032,0.390522567,2.620073377,0.747180381,64.02250374,0.191425661,0.130579196,0.322318602,0.191521929,0,0,0.00343688,0.004410281,0.148809524,0.103448276,0.055555556,0.436628124
0,Nebraska,Scotts Bluff County,31157,3.937855344,-13.2590266,0.379709399,2.433456327,0.693961796,65.64942914,0.196290127,0.066471417,0.164076476,0.372321074,0,0,0.004035446,0.000134566,0.226190476,0,0.111111111,0.434443762
0,Nebraska,Seward County,31159,0.374047918,-14.1160664,0.404253136,2.58789918,0.738005093,42.63151498,0.127467148,0.116180784,0.286777904,0.271427809,0,0,0.002622085,0.004854035,0.244047619,0.172413793,0.055555556,0.466724936
1,Nebraska,Sheridan County,31161,0.377192327,-999,,-999,,-999,,-999,,,-999,,,0.000144254,0.202380952,0,0.222222222,
1,Nebraska,Sherman County,31163,0.376742819,-999,,-999,,-999,,-999,,,-999,,,0.002223713,0.125,0.206896552,0.055555556,
1,Nebraska,Sioux County,31165,0.375465847,-999,,-999,,-999,,-999,,,-999,,,0.000113034,0.063137755,0,0.166666667,
0,Nebraska,Stanton County,31167,0.375757075,-20.425894,0.584952739,2.592262906,0.73924952,83.83158823,0.250654321,0.090912051,0.224405161,0,0,0,0.010861129,0.002435008,0.178571429,0.034482759,0.111111111,0.432197078
1,Nebraska,Thayer County,31169,0.376814388,-999,,-999,,-999,,-999,,,-999,,,0.006336307,0.339285714,0.137931034,0.055555556,
1,Nebraska,Thomas County,31171,0.37609849,-999,,-999,,-999,,-999,,,-999,,,0.000953473,0.041666667,0,0.277777778,
1,Nebraska,Thurston County,31173,0.375282595,-999,,-999,,-999,,-999,,,-999,,,0.002463726,0.06547619,0.068965517,0.166666667,
1,Nebraska,Valley County,31175,0.377322779,-999,,-999,,-999,,-999,,,-999,,,0.00179017,0.148809524,0.172413793,0.055555556,
0,Nebraska,Washington County,31177,1.624532199,-15.88539502,0.454922821,2.706111139,0.771716232,106.0950241,0.317221429,0.123694357,0.30532423,0.127382145,0,0,0.00710866,0.003350406,0.071428571,0.137931034,0.166666667,0.47797687
0,Nebraska,Wayne County,31179,0.375201,-14.96931296,0.428688243,2.616224092,0.74608266,97.92315802,0.292787757,0.089883889,0.221867269,0.057092489,0,0,0.001127078,0.002353082,0.148809524,0.034482759,0.055555556,0.402285902
1,Nebraska,Webster County,31181,0.37754373,-999,,-999,,-999,,-999,,,-999,,,0.005051038,0.160714286,0.172413793,0.055555556,
1,Nebraska,Wheeler County,31183,0.375804735,-999,,-999,,-999,,-999,,,-999,,,0.001752663,0.029761905,0.034482759,0.055555556,
0,Nebraska,York County,31185,0.373860329,-15.45063288,0.442472188,2.647048729,0.754873087,39.73489782,0.118806336,0.11689129,0.288531699,0.090847273,0,0,0.001695169,0.004630634,0.238095238,0.24137931,0.055555556,0.45245721
0,Nevada,Churchill County,32001,0.369044369,-3.374050759,0.096625403,2.43626288,0.694762156,6.765050247,0.020227329,0.034280814,0.084617951,0.064427367,0,0,0.001499552,0.000414021,0,0,0.055555556,0.205938012
0,Nevada,Clark County,32003,8.146628193,-4.221306739,0.120888953,2.22597645,0.634793646,29.33595621,0.087713764,0.009125679,0.022525612,0.034684734,0,0,0.006344816,0.003782707,0.023809524,0,0.555555556,0.312641116
0,Nevada,Douglas County,32005,6.683126606,-5.033572097,0.144150449,2.176050306,0.62055594,28.07784118,0.083952032,0.079630805,0.196558799,0.165382813,0,0,0.049632403,0.000354413,0,0,0.611111111,0.389827446
0,Nevada,Elko County,32007,0.374806228,-3.488130415,0.099892393,2.635138654,0.751476627,33.59488492,0.100447853,0.083899647,0.207095906,0.157329258,0,0,1,0.000295313,0.011904762,0,0.666666667,0.617060847
1,Nevada,Esmeralda County,32009,0.374534205,-999,,-999,,-999,,-999,,,-999,,,0.001389795,0,0,0.166666667,
1,Nevada,Eureka County,32011,0.374900075,-999,,-999,,-999,,-999,,,-999,,,0.000434499,0,0,0.277777778,
0,Nevada,Humboldt County,32013,0.374752828,-4.006126468,0.114726663,2.359746197,0.672941483,22.23862565,0.066492926,0.071290347,0.175971409,0.023044234,0,0,0.329544596,6.65352E-05,0,0,0.166666667,0.313409674
0,Nevada,Lander County,32015,0.373229796,-4.756360767,0.136211725,2.476573255,0.706257682,23.3475363,0.069808541,0.055804716,0.137747043,0.263707519,0,0,0.0909687,0.000393372,0.005952381,0,0.222222222,0.330362949
1,Nevada,Lincoln County,32017,0.375147463,-999,,-999,,-999,,-999,,,-999,,,0.002506248,0.005952381,0,0.5,
0,Nevada,Lyon County,32019,0.948595976,-3.128539477,0.089594499,2.382783187,0.679511065,11.95580881,0.035747565,0.043335833,0.106969146,0.040314063,0,0,0.07771131,0.000485526,0,0,0.5,0.320779258
0,Nevada,Mineral County,32021,0.374769872,-4.25789104,0.121936647,2.337734986,0.666664428,10.76229883,0.032179,0.031019814,0.076568576,0.59649982,0,0,0.000397305,0.000690992,0.005952381,0,0.5,0.415959074
0,Nevada,Nye County,32023,0.374889637,-3.253937702,0.093185629,2.110782492,0.601943167,32.27041316,0.096487716,0.008984816,0.022177909,0.603897097,0,0,0.003149315,0.001577763,0,0,0.388888889,0.377612206
1,Nevada,Pershing County,32027,0.374447942,-999,,-999,,-999,,-999,,,-999,,,0.000106896,0,0,0.055555556,
0,Nevada,Storey County,32029,0.374689172,-3.583602796,0.102626513,2.356075533,0.6718947,19.08319759,0.057058276,0.059715313,0.147399868,0,0,0,0.291217549,0.000229247,0,0,0.5,0.369343099
0,Nevada,Washoe County,32031,6.666331598,-3.963480179,0.113505367,2.439052855,0.695557788,24.22235112,0.072424215,0.073504362,0.181436431,0.047105451,0,0,0.035404589,7.11104E-05,0.011904762,0,0.666666667,0.380194983
0,Nevada,White Pine County,32033,0.374373505,-9.888673949,0.283189902,2.689594687,0.767006146,27.68119691,0.082766076,0.08492732,0.209632592,0.024911256,0,0,0.029130612,0.000831416,0,0,0.611111111,0.41751453
0,Nevada,Carson City,32510,25.28468381,-4.101341624,0.117453416,2.203505778,0.628385564,27.69018054,0.082792937,0.067087811,0.165597968,0.044663746,0,0,0.022294589,0.000267964,0,0.068965517,0.388888889,0.318549709
0,New Hampshire,Belknap County,33001,10.56672882,1.694679192,-0.04853189,2.580644698,0.735936293,162.301475,0.485277291,0.166123737,0.410055909,0.138183658,0,0,0.006827221,0.197909164,0.05952381,0.068965517,0.777777778,0.572816178
0,New Hampshire,Carroll County,33003,0.75950457,1.840723014,-0.052714264,2.602026281,0.742033794,219.6683786,0.656802876,0.169026502,0.417221026,0.120802083,0,0,0.006460369,0.162136466,0.041666667,0.137931034,0.777777778,0.608859466
0,New Hampshire,Cheshire County,33005,4.974093365,3.007856455,-0.086138402,2.582376952,0.736430289,151.2292399,0.452171589,0.191148779,0.471827132,0.342841206,0,0,0.004217596,0.193289187,0.06547619,0.172413793,0.888888889,0.655644669
0,New Hampshire,Coos County,33007,0.373624722,3.287736134,-0.094153541,2.64950041,0.755572246,172.2657061,0.515070089,0.209095109,0.516125428,0.110392055,0,0,0.001651262,0.107796361,0,0.068965517,0.722222222,0.546868228
0,New Hampshire,Grafton County,33009,1.613623034,-2.134126405,0.061116693,2.647410044,0.754976125,141.2174828,0.422236689,0.171352731,0.422963034,0.163767471,0,0,0.002454468,0.116381736,0.053571429,0.206896552,0.833333333,0.614438038
0,New Hampshire,Hillsborough County,33011,33.31914616,6.233584765,-0.178516176,2.559763272,0.729981425,191.0345269,0.571188387,0.205917228,0.508281221,0.118803695,0,0,0.010720199,0.240752828,0.136904762,0.275862069,1,0.690548739
0,New Hampshire,Merrimack County,33013,15.08667082,8.707890811,-0.249374866,2.596099852,0.740343723,162.2027295,0.484982044,0.154933569,0.382434362,0.138609075,0,0,0.008122925,0.202856927,0.041666667,0.103448276,0.944444444,0.565859842
0,New Hampshire,Rockingham County,33015,35.08940077,1.778323386,-0.050927276,2.514363769,0.717034605,211.426202,0.632158978,0.216057044,0.533310104,0.164561787,0.049175833,0.101749211,0.008998212,0.281632031,0.089285714,0.206896552,0.833333333,0.711596013
0,New Hampshire,Strafford County,33017,30.59306112,9.375802859,-0.2685024,2.494280018,0.711307214,200.6745519,0.600011817,0.208883153,0.515602241,0.10311725,0.029237658,0.060495338,0.011862054,0.250309242,0.06547619,0.103448276,0.888888889,0.615311562
0,New Hampshire,Sullivan County,33019,4.975735339,4.756077641,-0.136203617,2.594610919,0.739919116,144.2588589,0.431330327,0.181615606,0.448295673,0.161224865,0,0,0.00312416,0.158986997,0.023809524,0.103448276,0.777777778,0.54850085
0,New Jersey,Atlantic County,34001,33.1328385,8.397610186,-0.24048911,2.171351576,0.619215978,229.3863291,0.685859302,0.120995494,0.298662419,0.220665153,0.083619073,0.173015365,0.124321978,0.424735437,0.041666667,0,0.444444444,0.564760308
0,New Jersey,Bergen County,34003,0,-4.976896104,0.142527373,2.558185198,0.729531397,233.1633585,0.697152524,0.214991037,0.530678797,0.137745766,0.076616567,0.158526553,0.118612915,0.310142322,0.05952381,0.068965517,0.611111111,0.720998545
